Timestamp,Python or R (or data analysis tool),Terminal (Bash/Zsh),Git / Github,HTML / CSS,Javascript,d3.js
8/25/20 22:09,3,3,3,3,3,3
8/25/20 22:31,4,3,1,3,2,2
8/25/20 23:59,2,1,3,5,2,2
8/26/20 2:12,4,1,1,4,2,1
8/26/20 2:39,3,5,4,4,2,2
8/26/20 3:49,3,1,2,4,1,1
8/26/20 5:51,2,1,1,1,1,1
8/26/20 8:27,2,2,3,1,2,3
8/26/20 8:42,2,2,3,4,2,2
8/26/20 11:31,3,1,4,1,1,1
8/26/20 18:14,4,3,2,1,2,1
8/26/20 18:22,4,1,2,1,1,1
8/28/20 12:59,2,2,1,1,1,1
8/29/20 18:47,3,1,2,1,1,1
8/30/20 23:30,3,1,3,2,1,1
9/1/20 21:01,4,4,5,5,5,3
